sql_prompt,sql
total cost spacecraft manufactured roscosmos launched 20150101,SELECT SUM(sm.cost) FROM Spacecraft_Manufacturing sm INNER JOIN Space_Missions sms ON sm.id = sms.id WHERE sm.manufacturer = 'Roscosmos' AND sms.launch_date < '2015-01-01';
percentage security incident caused malware last year,"SELECT ROUND(100 * SUM(CASE WHEN cause = 'malware' THEN 1 ELSE 0 END) / COUNT(*) , 2) as malware_percentage FROM incident_cause WHERE incident_time >= DATE_SUB(CURRENT_TIMESTAMP, INTERVAL 1 YEAR);"
many employee identify transgender nonbinary work hr department salary greater 65000,"SELECT COUNT(*) FROM Employees WHERE GenderIdentity IN ('Transgender', 'Non-binary') AND Department = 'HR' AND Salary > 65000;"
maximum budget allocated accessible technology initiative nonprofit organization,SELECT MAX(budget) FROM initiatives INNER JOIN npo ON initiatives.npo_id = npo.npo_id INNER JOIN accessibility ON initiatives.initiative_id = accessibility.initiative_id WHERE npo.sector = 'non-profit' AND accessibility.accessibility_level = 'accessible';
minimum duration day space mission isro,SELECT MIN(duration) FROM SpaceMissions WHERE agency = 'ISRO';
average salary developer contributed opensource project focused ethical ai average salary developer contributed project,SELECT AVG(salary) FROM developers WHERE contributed_to_ethical_ai = TRUE; SELECT AVG(salary) FROM developers WHERE contributed_to_ethical_ai = FALSE;
total revenue hotel india adopted ai technology,SELECT SUM(revenue) FROM hotels WHERE country = 'India' AND ai_adoption = TRUE;
calculate difference highest lowest claim amount high risk underwriting group,SELECT MAX(claim_amount) - MIN(claim_amount) FROM underwriting WHERE group = 'High Risk';
list spacecraft manufactured galactictech cost,SELECT * FROM SpacecraftManufacturing WHERE company = 'GalacticTech';
number community development initiative top 3 active region 2022 sorted region,"SELECT region, COUNT(*) as num_initiatives FROM community_development WHERE year = 2022 AND region IN (SELECT region FROM community_development WHERE year = 2022 GROUP BY region ORDER BY COUNT(*) DESC FETCH FIRST 3 ROWS ONLY) GROUP BY region ORDER BY num_initiatives DESC;"
rating ecofriendly hotel austria,SELECT rating FROM eco_hotel_ratings WHERE country = 'Austria';
top speaker field ethical ai popular talk title,"SELECT speakers.name, talks.title, MAX(attendees) as popular_talk_attendees FROM speakers JOIN talks ON speakers.id = talks.speaker_id JOIN conference_attendees ON talks.id = conference_attendees.talk_id WHERE talks.title LIKE '%ethical AI%' GROUP BY speakers.name, talks.title HAVING popular_talk_attendees = MAX(attendees);"
list pollution control initiative north pacific region,SELECT * FROM PollutionControl WHERE location = 'North Pacific';
many policy active month year 2021,"SELECT EXTRACT(MONTH FROM ActiveDate) AS Month, COUNT(PolicyID) AS ActivePolicies FROM Policy WHERE EXTRACT(YEAR FROM ActiveDate) = 2021 GROUP BY Month ORDER BY Month;"
average severity vulnerability reported q1 2021,SELECT AVG(severity) as avg_severity FROM vulnerabilities WHERE first_reported BETWEEN '2021-01-01' AND '2021-03-31';
show top 2 state highest number measles case 2017,"SELECT State, SUM(Cases) FROM MeaslesData WHERE Year = 2017 GROUP BY State ORDER BY SUM(Cases) DESC LIMIT 2;"
list unique policy type respective policy start date policyholder living north region,"SELECT DISTINCT policy_type, policy_start_date FROM policyholders WHERE region = 'north';"
list astronaut participated mission,SELECT Astronauts.name FROM Astronauts LEFT JOIN MissionHistory ON Astronauts.astronaut_id = MissionHistory.astronaut_id WHERE MissionHistory.astronaut_id IS NULL;
many athlete player table united state,SELECT COUNT(*) FROM players WHERE country = 'USA';
count marine mammal strandings gulf mexico since 2015,SELECT COUNT(*) FROM marine_mammals WHERE stranding_location = 'Gulf of Mexico' AND YEAR(stranding_date) >= 2015;
many deepsea expedition expedition conducted southern hemisphere hemisphere,SELECT COUNT(expedition.id) FROM expedition INNER JOIN hemisphere ON expedition.hemisphere_id = hemisphere.id WHERE hemisphere.name = 'Southern Hemisphere';
percentage child chicago received mmr vaccine,SELECT (SELECT COUNT(*) FROM patient WHERE age < 18 AND city = 'Chicago' AND MMR_vaccine_date IS NULL) * 100.0 / (SELECT COUNT(*) FROM patient WHERE age < 18 AND city = 'Chicago') AS percentage;
many local business partnered virtual tourism initiative japan,SELECT COUNT(DISTINCT VirtualTourism.BusinessID) FROM VirtualTourism INNER JOIN LocalBusinesses ON VirtualTourism.BusinessID = LocalBusinesses.BusinessID WHERE LocalBusinesses.Country = 'Japan';
minimum age patient yellow fever kenya,SELECT MIN(Age) FROM Patients WHERE Disease = 'Yellow Fever' AND Country = 'Kenya';
total number visitor cultural heritage site london,SELECT SUM(visitors) FROM cultural_sites WHERE city = 'London';
maximum income family health insurance coverage florida,SELECT MAX(Income) FROM Income WHERE HealthInsurance = TRUE AND State = 'Florida';
minimum maximum average policy term length policyholder midwest,"SELECT policyholder_state, MIN(policy_term_length) AS min_term_length, MAX(policy_term_length) AS max_term_length, AVG(policy_term_length) AS avg_term_length FROM policies JOIN policyholders ON policies.policyholder_id = policyholders.id WHERE policyholder_state IN ('IL', 'IN', 'MI', 'WI') GROUP BY policyholder_state;"
average number virtual tour engagement per day australia,SELECT AVG(COUNT(*) OVER (PARTITION BY engagement_date)) FROM virtual_tour_engagements WHERE country = 'Australia';
percentage new hire identify indigenous finance department past six month,"SELECT Department, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM Employees WHERE HireDate >= DATEADD(month, -6, GETDATE())) AS Percentage FROM Employees WHERE Community = 'Indigenous' AND Department = 'Finance' GROUP BY Department;"
organization received funding marine conservation mediterranean sea 2022,SELECT DISTINCT organization FROM marine_conservation_funding WHERE location = 'Mediterranean Sea' AND date BETWEEN '2022-01-01' AND '2022-12-31';
maximum payload weight spacecraft launched cnsa year 2018,SELECT MAX(weight) FROM CNSA.PayloadWeight WHERE year = 2018;
many whale sighting reported arctic ocean 2021,SELECT COUNT(*) FROM whale_sightings WHERE year = 2021 AND location = 'Arctic Ocean';
many unique ip address attempted log last quarter,"SELECT COUNT(DISTINCT login_ip) as unique_ips FROM LoginIPs WHERE login_date >= DATEADD(quarter, -1, GETDATE());"
total number accessible technology center city population 5 million africa,"SELECT SUM(num_accessible_tech_centers) FROM Cities WHERE population > 5000000 AND country IN ('Egypt', 'Nigeria', 'DRC', 'South Africa', 'Morocco');"
number successful failed satellite launch country last 5 year,"SELECT country, launch_result, COUNT(*) as num_launches FROM satellite_launches WHERE launch_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 5 YEAR) GROUP BY country, launch_result;"
many security incident retail sector last six month united state,"SELECT COUNT(*) FROM security_incidents WHERE sector = 'Retail' AND country = 'USA' AND incident_date >= DATEADD(month, -6, GETDATE());"
total revenue ecofriendly hotel asia,SELECT SUM(revenue) FROM hotels WHERE region = 'Asia' AND sustainability_level = 'Eco-Friendly';
show top 4 common type security incident last 90 day along number incident broken region,"SELECT incident_type, COUNT(*) as total_incidents, region FROM security_incidents WHERE incident_time >= NOW() - INTERVAL '90 days' GROUP BY incident_type, region ORDER BY total_incidents DESC LIMIT 4;"
average donation amount per donor usa,SELECT AVG(DonationAmount) FROM Donations D JOIN Donors DR ON D.DonorID = DR.DonorID WHERE DR.Country = 'USA' GROUP BY DR.DonorID;
find number tuberculosis case african american community new york city 2018,SELECT tb_cases.num_cases FROM tb_cases WHERE tb_cases.ethnicity = 'African American' AND tb_cases.location = 'New York City' AND tb_cases.year = 2018;
minimum engagement time virtual tour hotel europe,SELECT MIN(engagement_time) FROM virtual_tours WHERE country = 'Europe';
virtual tour received engagement user america region,"SELECT name, MAX(engagement) FROM virtual_tours WHERE region = 'Americas';"
name athlete gold medal olympics twitter account,SELECT AthleteName FROM Athletes WHERE Medals > 10 AND Twitter IS NOT NULL
find top 2 local event highest co2 emission canada,"SELECT name, SUM(co2_emission) AS total_emission FROM Events WHERE location = 'Canada' AND type = 'Local' GROUP BY name ORDER BY total_emission DESC LIMIT 2;"
total number donation per month past year,"SELECT DATE_TRUNC('month', donation_date) as month, COUNT(*) as total_donations FROM monthly_donations_2 WHERE donation_date BETWEEN DATE_TRUNC('month', CURRENT_DATE - INTERVAL '1 year') AND CURRENT_DATE GROUP BY month;"
find number unique volunteer worked environment project 2021 number project participated,"SELECT v.name, COUNT(DISTINCTvp.project_id) as projects_participated, COUNT(DISTINCT vp.volunteer_id) as unique_volunteers FROM volunteers v JOIN volunteer_projects vp ON v.volunteer_id = vp.volunteer_id WHERE vp.cause = 'Environment' AND vp.year = 2021 GROUP BY v.name;"
identify top 2 rural infrastructure project colombia budget 2022,"SELECT project, SUM(budget) AS total_budget FROM rural_projects WHERE country = 'Colombia' AND YEAR(project) = 2022 GROUP BY project ORDER BY total_budget DESC LIMIT 2;"
market share ota booking countryz compared nonota booking,"SELECT 'OTA' as source, SUM(booking_amt) as total_amt FROM Bookings WHERE ota_source = TRUE UNION SELECT 'Non-OTA' as source, SUM(booking_amt) as total_amt FROM Bookings WHERE ota_source = FALSE;"
total claim amount policy ny claim amount greater 1000,SELECT SUM(claim_amount) FROM claims JOIN policies ON claims.policy_id = policies.id WHERE policies.state = 'NY' AND claim_amount > 1000;
average severity vulnerability detected last month finance department,"SELECT AVG(severity) FROM vulnerabilities WHERE detection_date >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH) AND department = 'Finance';"
maximum depth squid found indian ocean,"SELECT MAX(depth) FROM squid_depth WHERE species IN ('Giant Squid', 'Colossal Squid') AND location = 'Indian Ocean';"
change economic diversification effort ruraldevelopment schema economicdiversification table comparing first half 2020 first half 2021,"SELECT (SUM(CASE WHEN year = 2021 AND quarter <= 2 THEN diversification_value END) - SUM(CASE WHEN year = 2020 AND quarter <= 2 THEN diversification_value END)) / SUM(CASE WHEN year = 2020 AND quarter <= 2 THEN diversification_value END) * 100 AS change FROM economic_diversification WHERE year IN (2020, 2021) AND quarter IN (1, 2);"
maximum marine life population count atlantic region,SELECT max(population_count) FROM marine_life WHERE region = 'Atlantic';
community development initiative haiti lowest cost 2021,"SELECT initiative, MIN(cost) as min_cost FROM community_development_haiti WHERE country = 'Haiti' AND year = 2021 GROUP BY initiative;"
identify marine life research data pollution level recommended threshold,"SELECT context.species, context.pollution_level FROM oceans.marine_life_data AS context WHERE context.pollution_level < 15;"
policy number coverage start date number claim policy texas region,"SELECT policies.policy_number, policies.coverage_start_date, COUNT(claims.claim_number) FROM policies LEFT JOIN claims ON policies.policy_number = claims.policy_number WHERE policies.region = 'Texas' GROUP BY policies.policy_number;"
volume water deepest part pacific ocean,"SELECT SUM(volume_cubic_km) FROM Pacific_Ocean_Volumes WHERE depth_range = '11,000m+';"
list community development initiative rural india active 5 year,"SELECT initiative_name, location FROM CommunityDevelopment WHERE location LIKE 'rural%' AND start_date <= DATE_SUB(CURRENT_DATE, INTERVAL 5 YEAR);"
many volunteer signed q1 q2 2021,"SELECT DATE_FORMAT(VolunteerDate, '%Y-%q') as Quarter, COUNT(*) as VolunteerCount FROM Volunteers WHERE VolunteerDate BETWEEN '2021-01-01' AND '2021-06-30' GROUP BY Quarter;"
virtual tour view europe region hotel,"SELECT region, SUM(views) FROM virtual_tours WHERE region = 'Europe' GROUP BY region;"
show name region researcher researcher table 3 year experience north america,"SELECT name, region FROM researchers WHERE region = 'North America' AND experience > 3;"
name country pacific ocean region fishing vessel registered water,SELECT countries.name FROM countries INNER JOIN fishing_vessels ON countries.region = fishing_vessels.country_region WHERE countries.region = 'Pacific';
identify number marine specie north atlantic gyre,SELECT COUNT(species_name) FROM NorthAtlanticGyre WHERE species_name != 'Microplastics';
minimum success rate agricultural innovation metric ruraldevelopment schema agriculturalinnovation table broken type innovation initiative implemented last 2 year,"SELECT innovation_type, MIN(success_rate) FROM agricultural_innovation WHERE implementation_date >= DATE_SUB(CURRENT_DATE, INTERVAL 2 YEAR) GROUP BY innovation_type;"
infection rate tuberculosis urban area compared rural area,"SELECT (SELECT COUNT(*) FROM Infections WHERE Disease = 'Tuberculosis' AND Location = 'Urban') / (SELECT COUNT(*) FROM Infections WHERE Disease = 'Tuberculosis') AS UrbanRate, (SELECT COUNT(*) FROM Infections WHERE Disease = 'Tuberculosis' AND Location = 'Rural') / (SELECT COUNT(*) FROM Infections) AS RuralRate FROM Infections LIMIT 1;"
total donation amount program q2 2022 many unique volunteer signed program,"SELECT ProgramName, SUM(DonationAmount) as TotalDonation, COUNT(DISTINCT VolunteerID) as NumVolunteers FROM Programs JOIN Donations ON Programs.ProgramID = Donations.ProgramID JOIN ProgramVolunteers ON Programs.ProgramID = ProgramVolunteers.ProgramID WHERE DonationDate BETWEEN '2022-04-01' AND '2022-06-30' GROUP BY ProgramName;"
infection rate hiv north america,SELECT InfectionRate FROM Disease WHERE Name = 'HIV' AND Region = 'North America';
maximum depth trench pacific ocean average depth,"SELECT MAX(DEPTH) AS MAX_DEPTH, AVG(DEPTH) AS AVG_DEPTH FROM TRENCHES WHERE REGION = 'Pacific Ocean';"
minimum severity vulnerability detected hr department,SELECT MIN(severity) FROM vulnerabilities WHERE department = 'HR';
total budget deepsea exploration program,SELECT SUM(budget) FROM countries_2 WHERE deep_sea_program = TRUE;
average crop yield per hectare region ruraldevelopment schema crop yield greater 2000,"SELECT region, AVG(yield) as avg_yield FROM crop_yields WHERE yield > 2000 GROUP BY region;"
list infectious disease hospital los angeles san francisco,"SELECT i.disease FROM hospitals h INNER JOIN infectious_diseases i ON h.id = i.hospital_id WHERE h.city IN ('Los Angeles', 'San Francisco');"
maximum duration space mission astronaut usa,SELECT MAX(mission_duration) FROM SpaceMissions WHERE astronaut_country = 'USA';
maximum salary nhl player season,SELECT MAX(salary) FROM players WHERE sport = 'NHL' AND season = '2022';
total claim amount processed january 2021,SELECT SUM(amount) FROM claims WHERE processed_date BETWEEN '2021-01-01' AND '2021-01-31';
total number volunteer womenempowerment program,SELECT COUNT(*) as total_volunteers FROM volunteer WHERE program_id = (SELECT id FROM program WHERE name = 'women_empowerment');
country largest number donor 2022,"SELECT country, COUNT(*) as num_donors FROM Donors WHERE donation_date >= '2022-01-01' AND donation_date <= '2022-12-31' GROUP BY country ORDER BY num_donors DESC;"
average number home run hit baseball player al,SELECT AVG(homeruns) FROM baseball WHERE league = 'AL';
maximum number digital divide issue africa region,SELECT MAX(issues) FROM africa_digital_divide WHERE region = 'Africa';
total number aipowered solution implemented hotel virtual tour engagement score least 70,SELECT COUNT(DISTINCT ai_solutions.solution_id) AS total_solutions FROM ai_solutions INNER JOIN hotels ON ai_solutions.hotel_id = hotels.hotel_id INNER JOIN virtual_tours ON hotels.hotel_id = virtual_tours.hotel_id WHERE virtual_tours.engagement_score >= 70;
find intersection astronaut flown spacex nasa mission,SELECT name FROM astronauts WHERE missions LIKE '%SpaceX%' AND missions LIKE '%NASA%';
maximum takeoff weight aircraft longest wingspan,SELECT MaxTakeoffWeight FROM AircraftWeights WHERE Wingspan = (SELECT MAX(Wingspan) FROM AircraftWeights);
average age female farmer ruraldevelopment database,SELECT AVG(age) FROM farmer WHERE gender = 'Female';
display number underwater volcano atlantic ocean,SELECT COUNT(*) FROM underwater_volcanoes WHERE location = 'Atlantic Ocean';
many case tuberculosis reported urban area 2020,"SELECT r.name, SUM(t.cases) AS total_cases FROM regions r INNER JOIN tb_cases t ON r.name = t.region WHERE r.type = 'urban' AND t.year = 2020 GROUP BY r.name;"
total donation amount number volunteer program category h1 2023 many category activity,"SELECT Category, SUM(DonationAmount) as TotalDonation, SUM(VolunteerCount) as NumVolunteers FROM ProgramCategories JOIN ProgramDonations ON ProgramCategories.ProgramCategoryID = ProgramDonations.ProgramCategoryID JOIN ProgramVolunteers ON ProgramCategories.ProgramCategoryID = ProgramVolunteers.ProgramCategoryID WHERE DonationDate BETWEEN '2023-01-01' AND '2023-06-30' GROUP BY Category HAVING SUM(DonationAmount) > 0 AND SUM(VolunteerCount) > 0;"
total number community development initiative 2020 country,"SELECT country, COUNT(*) as total_initiatives FROM community_development_initiatives WHERE YEAR(start_date) = 2020 GROUP BY country;"
earliest launch date satellite deployed russia,SELECT MIN(launch_date) FROM satellite_deployment WHERE country = 'Russia';
vulnerability found network device category last quarter,"SELECT vulnerability FROM vulnerabilities WHERE category = 'Network Devices' AND discovered_date >= DATEADD(quarter, -1, GETDATE());"
description vulnerability id 3,SELECT description FROM vulnerabilities WHERE id = 3;
summarize budget renewable energy project district 22 district 23,"SELECT district_id, SUM(budget) FROM agri_projects WHERE district_id IN (22, 23) AND project_category = 'Renewable Energy' GROUP BY district_id;"
identify number pollution control initiative arctic ocean region,SELECT COUNT(*) FROM arctic_ocean WHERE region = 'Arctic Ocean';
total number mental health facility urban area,SELECT COUNT(*) FROM facilities WHERE location = 'urban' AND type = 'mental_health';
many time specific ip address appeared threat intelligence data last month,"SELECT COUNT(*) as num_occurrences FROM threat_intelligence WHERE ip_address = '192.168.1.1' AND event_date >= DATEADD(month, -1, GETDATE());"
many user disability region,"SELECT users_3.region, COUNT(*) FROM users_3 WHERE users_3.disability = true GROUP BY users_3.region;"
list social good technology program launched first half year 2023 rural area,SELECT DISTINCT Program FROM SocialGoodTech WHERE Year = 2023 AND Quarter = 1 AND Rural = 'Rural';
highest number home run hit player dominican republic single mlb season,SELECT MAX(home_runs) as max_home_runs FROM mlb_players WHERE country = 'Dominican Republic';
many economic diversification project completed bangladesh,SELECT COUNT(*) FROM economic_diversification WHERE location = 'Bangladesh' AND status = 'Completed';
average budget allocated ai project healthcare sector,SELECT AVG(budget) FROM ai_projects WHERE sector = 'healthcare';
show top 2 booked accessible hotel south america region current month,"SELECT * FROM bookings b INNER JOIN (SELECT hotel_id, COUNT(*) as num_bookings FROM bookings WHERE is_accessible = 1 AND booking_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH) GROUP BY hotel_id ORDER BY num_bookings DESC LIMIT 2) t ON b.hotel_id = t.hotel_id WHERE is_accessible = 1;"
many training session conducted department last 6 month,"SELECT Department, COUNT(*) as TrainingSessions FROM Trainings WHERE TrainingDate BETWEEN DATEADD(MONTH, -6, GETDATE()) AND GETDATE() GROUP BY Department;"
many pollution reading taken southchinasea 2019,SELECT COUNT(*) FROM pollution_readings WHERE location = 'South China Sea' AND reading_date BETWEEN '2019-01-01' AND '2019-12-31';
total donation amount region h1 h2 2023,"SELECT region, SUM(amount) as total_donation FROM donations WHERE EXTRACT(MONTH FROM donation_date) BETWEEN 1 AND 6 OR EXTRACT(MONTH FROM donation_date) BETWEEN 7 AND 12 GROUP BY region;"
percentage child 5 received recommended vaccination country,"SELECT country, 100.0 * COUNT(*) / (SELECT COUNT(*) FROM children_vaccinations WHERE is_under_5 = TRUE) AS pct_vaccinated FROM children_vaccinations WHERE is_under_5 = TRUE AND is_vaccinated = TRUE GROUP BY country;"
list astronaut piloted spacecraft manufactured spacex,SELECT Name FROM Astronauts WHERE Manufacturer = 'SpaceX';
total number virtual tour conducted africa past month,"SELECT COUNT(*) FROM african_tours WHERE country = 'Africa' AND date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH);"
determine number day since last donation donor donor made least one donation current year,"SELECT donor_id, DATEDIFF(CURRENT_DATE, MAX(donation_date)) AS days_since_last_donation FROM donation WHERE EXTRACT(YEAR FROM donation_date) = EXTRACT(YEAR FROM CURRENT_DATE) GROUP BY donor_id HAVING COUNT(*) > 0;"
identify top 3 community development initiative kenya tanzania uganda based total budget allocated present descending order budget,"SELECT Country, SUM(Budget) as Total_Budget FROM Community_Projects WHERE Country IN ('Kenya', 'Tanzania', 'Uganda') GROUP BY Country ORDER BY Total_Budget DESC LIMIT 3;"
many satellite launched company since 2010,"SELECT company, COUNT(*) as total_satellites FROM satellites WHERE YEAR(launch_date) >= 2010 GROUP BY company;"
minimum rating hotel africa offer virtual tour,SELECT MIN(rating) FROM hotel_virtual_tours WHERE has_virtual_tour = true AND country = 'Africa';
average cost device user disability,SELECT AVG(cost) FROM devices WHERE disability = true;
total revenue generated hotel africa offer wellness package,SELECT SUM(revenue) FROM hotels WHERE country = 'Africa' AND wellness = TRUE;
present number marine specie type marinespecies table threatened,"SELECT type, COUNT(*) FROM marine_species WHERE conservation_status != 'threatened' GROUP BY type;"
find number game played number game nba team current season,"SELECT home_team_id, COUNT(*) AS games_played, SUM(CASE WHEN home_team_score > away_team_score THEN 1 ELSE 0 END) + SUM(CASE WHEN away_team_score > home_team_score THEN 0 ELSE 1 END) AS games_won FROM games JOIN teams ON home_team_id = teams.team_id WHERE season_id = (SELECT MAX(season_id) FROM teams) GROUP BY home_team_id;"
average salary employee identify black african american per department sorted lowest average salary,"SELECT Department, AVG(Salary) as Avg_Salary FROM Employees WHERE Ethnicity IN ('Black', 'African American') GROUP BY Department ORDER BY Avg_Salary ASC;"
many astronaut phd degree,SELECT COUNT(*) FROM astronauts WHERE degree = 'PhD';
total number flight hour aircraft manufactured spacex,SELECT SUM(hours_flown) FROM flight_hours WHERE manufacturer = 'SpaceX';
many deepsea expedition conducted organization indian ocean 2016 2021 average depth expedition,"SELECT conducting_organization, COUNT(*) AS expedition_count, AVG(average_depth) AS avg_depth FROM deep_sea_expeditions WHERE expedition_year BETWEEN 2016 AND 2021 AND ocean = 'Indian Ocean' GROUP BY conducting_organization;"
many unique ip address attempted exploit vulnerability last week,"SELECT COUNT(DISTINCT ip) as unique_ips FROM VulnerabilityScans WHERE scan_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 WEEK);"
maximum number point scored volleyball player single game,SELECT MAX(points) FROM game_points WHERE sport = 'Volleyball';
identify earliest launch date number satellite launched organization one satellite launched per month,"SELECT Organization, MIN(LaunchDate) as 'Earliest Launch Date', COUNT(*) as 'Number of Satellites Launched' FROM (SELECT Organization, LaunchDate, ROW_NUMBER() OVER (PARTITION BY Organization, YEAR(LaunchDate) * 100 + MONTH(LaunchDate) ORDER BY LaunchDate) as RowNumber FROM Satellites) AS Subquery WHERE Subquery.RowNumber = 1 GROUP BY Organization;"
total revenue generated cultural heritage preservation initiative african country,"SELECT I.Country, SUM(T.Revenue) as TotalRevenue FROM Initiatives I INNER JOIN Transactions T ON I.InitiativeID = T.InitiativeID WHERE I.InitiativeType = 'CulturalHeritage' AND I.Country LIKE 'Africa%' GROUP BY I.Country;"
astronaut flown space shuttle discovery,SELECT DISTINCT name FROM Astronauts WHERE flights LIKE '%Space Shuttle Discovery%';
average occupancy rate hotel sydney 2022,SELECT AVG(occupancy) FROM occupancy WHERE city = 'Sydney' AND year = 2022;
threat intelligence source reported unique vulnerability last quarter,"SELECT source, COUNT(DISTINCT vulnerability_id) as vulnerability_count FROM threat_intelligence JOIN vulnerabilities ON threat_intelligence.vulnerability_id = vulnerabilities.id WHERE quarter_year = DATEADD(quarter, -1, GETDATE()) GROUP BY source ORDER BY vulnerability_count DESC;"
maximum depth marine specie observed indian ocean,SELECT MAX(depth) FROM marine_species WHERE ocean = 'Indian';
many accessible technology patent granted underrepresented community,"SELECT COUNT(*) FROM patents WHERE is_accessible = true AND community IN ('Women in Tech', 'Rural Developers');"
founder technology company focus ethical ai received 10 million funding,"SELECT founders.founder_name, companies.company_name FROM companies INNER JOIN founders ON companies.id = founders.companies_id WHERE companies.focus LIKE '%ethical AI%' AND companies.funding > 10000000;"
many female candidate interviewed marketing position,SELECT COUNT(*) FROM Candidates WHERE Gender = 'Female' AND Position = 'Marketing';
total biomass whale specie pacific excluding gray whale,SELECT SUM(biomass) FROM whale_biomass WHERE species != 'Gray Whale' AND location = 'Pacific';
minimum temperature recorded antarctic ocean,SELECT MIN(temperature) FROM ocean_temperatures WHERE ocean = 'Antarctic';
many security incident per month apac region 2020,"SELECT EXTRACT(MONTH FROM occurrence_date) AS month, SUM(incident_count) AS total_incidents FROM security_incidents WHERE region = 'APAC' AND occurrence_date >= '2020-01-01' AND occurrence_date < '2021-01-01' GROUP BY month;"
unique astrophysics observation made antarctic region,SELECT DISTINCT observation FROM Astrophysics_Observations WHERE observation_region = 'Antarctic';
many virtual tour booked last month,"SELECT COUNT(booking_id) FROM bookings WHERE tour_type = 'Virtual' AND booking_date >= DATEADD(month, -1, GETDATE());"
number rural womenled business state bihar india adopted sustainable agricultural practice,SELECT COUNT(*) as num_women_led_sustainable FROM businesses_india_bihar WHERE state = 'Bihar' AND owner_gender = 'Female' AND sustainable_practices = TRUE;
average ocean acidity level ph value indian ocean last 7 year,SELECT AVG(pH) FROM ocean_acidity WHERE location = 'Indian Ocean' AND year BETWEEN 2015 AND 2021;
count high severity vulnerability system vulnassessments table january 2022,"SELECT system, COUNT(*) FROM VulnAssessments WHERE severity = 'High' AND date BETWEEN '2022-01-01' AND '2022-01-31' GROUP BY system;"
many economic diversification project completed 2021 diversificationprojects table,SELECT COUNT(*) FROM diversification_projects WHERE completion_year = 2021;
total number marine specie observed arctic ocean,SELECT COUNT(*) FROM marine_species WHERE habitat = 'Arctic Ocean';
average duration marine research project indian ocean,"SELECT location, AVG(DATEDIFF(end_date, start_date)) as average_duration FROM Research WHERE location = 'Indian Ocean' GROUP BY location;"
policy number highest claim amount last 6 month,"SELECT PolicyNumber, MAX(ClaimAmount) as MaxClaimAmount FROM Claim WHERE ClaimDate >= DATEADD(MONTH, -6, GETDATE()) GROUP BY PolicyNumber ORDER BY MaxClaimAmount DESC;"
oldest soccer player ml,SELECT name FROM players WHERE sport = 'MLS' AND age = (SELECT MAX(age) FROM players WHERE sport = 'MLS');
retrieve depth measurement ocean area ordered map date partitioned ocean area specifically indian ocean,"SELECT Area, MapDate, Depth, ROW_NUMBER() OVER (PARTITION BY Area ORDER BY MapDate) as DepthRank FROM OceanFloorMapping WHERE Area = 'Indian Ocean'"
find number obesity case recorded california 2020,SELECT SUM(Cases) FROM HealthStats WHERE Disease = 'Obesity' AND State = 'California' AND Year = 2020;
find average number hour volunteered per month gender 2022,"SELECT gender, EXTRACT(MONTH FROM signup_date) AS month, AVG(hours_volunteered) FROM volunteers WHERE signup_date BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY gender, month;"
top 5 common vulnerability last month,"SELECT name, COUNT(*) as count FROM vulnerabilities WHERE date_discovered >= DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH) GROUP BY name ORDER BY count DESC LIMIT 5;"
show name start date rural project mindanao region ruralprojects table,"SELECT project_type, start_date FROM rural_projects WHERE region = 'Mindanao';"
cybersecurity policy cybersecuritypolicies table last updated 2020,"SELECT policy_name, last_updated FROM cybersecurity_policies WHERE last_updated < '2020-01-01';"
many cultural heritage site india egypt visited 20000 people 2021,"SELECT COUNT(*) FROM sites WHERE country IN ('India', 'Egypt') AND year = 2021 AND visitors > 20000;"
latest satellite deployed space organization,"SELECT satellite_name, launch_date, organization FROM (SELECT satellite_name, launch_date, organization, ROW_NUMBER() OVER (PARTITION BY organization ORDER BY launch_date DESC) as rn FROM satellites) t WHERE rn = 1;"
get name school accessibility rating 3,SELECT name FROM schools WHERE accessibility_rating < 3;
local economic impact tourism barcelona 2021,SELECT revenue FROM local_economy WHERE city = 'Barcelona' AND year = 2021;
average donation amount per month past year,"SELECT AVG(DonationAmount) FROM DonationsByMonth WHERE DonationMonth >= DATEADD(year, -1, CURRENT_DATE) GROUP BY MONTH(DonationMonth) ORDER BY DonationMonth;"
calculate total amount donated program year 2019,"SELECT program, SUM(donation_amount) AS total_donations FROM donations WHERE YEAR(donation_date) = 2019 GROUP BY program;"
average number donation per unique donor past year,"SELECT AVG(cnt) AS avg_donations_per_donor FROM (SELECT donor_id, COUNT(*) AS cnt FROM donor_donations WHERE donation_year = YEAR(CURRENT_DATE) - 1 GROUP BY donor_id) subquery;"
maximum number flight hour commercial airline european union 2019,SELECT MAX(flight_hours) FROM flight_safety WHERE region = 'European Union' AND year = 2019;
total number volunteer asia 2021,SELECT COUNT(*) FROM volunteers WHERE region = 'Asia' AND YEAR(volunteer_date) = 2021;
